Word embeddings reading completes and total number of words is:28565

Skip: 小心谨慎  谨慎小心 
Skip: 垃圾桶  垃圾箱 
Skip: 施压  施加压力 
Skip: 火爆  火暴 
Skip: 颤巍巍  颤颤巍巍 
Skip: 葱郁  葱茏 
Skip: 炫目  眩目 
Skip: 秸秆  秸杆 
Skip: 纽扣  钮扣 
Skip: 微词  微辞 
Skip: 笑容  笑颜 
Skip: 换挡  换档 
Skip: 源于  源自 
Skip: 晃荡  晃悠 
Skip: 课税  课征 
Skip: 信心十足  满怀信心 
Skip: 空难  飞机失事 
Skip: 黄金时段  黄金时间 
Skip: 亲友  亲朋好友 
Skip: 炽热  炙热 
Skip: 文武双全  文武全才 
Skip: 聪慧  聪颖 
Skip: 漩涡  旋涡 
Skip: 惊异  惊诧 
Skip: 环视  四顾 
Skip: 援军  援兵 
Skip: 消暑  解暑 
Skip: 尽全力  竭尽全力 
Skip: 猜测  揣测 
Skip: 飙升  急升 
Skip: 慢腾腾  慢慢吞吞 
Skip: 做作  造作 
Skip: 坐垫  座垫 
Skip: 嫌疑人  疑犯 
Skip: 裤腿  裤管 
Skip: 停止销售  停售 
Skip: 护佑  佑护 
Skip: 耳畔  耳旁 
Skip: 孤身一人  孤身 
Skip: 消防队员  消防员 
Skip: 帽檐  帽沿 
Skip: 除夕  除夕夜 
Skip: 精神饱满  精神焕发 
Skip: 第三名  季军 
Skip: 采样  取样 
Skip: 橘红色  桔红色 
Skip: 鲁莽  莽撞 
Skip: 绚丽多彩  绚丽多姿 
Skip: 决然  毅然决然 
Skip: 忐忑不安  忐忑 
Skip: 作怪  作祟 
Skip: 聪明  聪慧 
Skip: 匮乏  贫乏 
Skip: 机动车  机动车辆 
Skip: 寿宴  寿筵 
Skip: 账户  帐户 
Skip: 木棍  木棒 
Skip: 飞驰  疾驰 
Skip: 郁郁葱葱  葱郁 
Skip: 泪水  泪珠 
Skip: 跪拜  叩拜 
Skip: 扎根  植根于 
Skip: 衣衫褴褛  褴褛 
Skip: 难以预料  难以预测 
Skip: 战功  军功 
Skip: 溪水  溪流 
Skip: 碰钉子  碰一鼻子灰 
Skip: 彪悍  剽悍 
Skip: 简洁  简练 
Skip: 蹒跚  步履蹒跚 
Skip: 难以言表  难以名状 
Skip: 精神抖擞  精神饱满 
Skip: 热气腾腾  热腾腾 
Skip: 轶事  逸事 
Skip: 犯罪嫌疑人  嫌疑人 
Skip: 攻防  攻守 
Skip: 悲切  哀戚 
Skip: 疲惫  疲惫不堪 
Skip: 佩戴  佩带 
Skip: 敬仰  景仰 
Skip: 孤独  孤单 
Skip: 不能解决  无法解决 
Skip: 葱茏  苍郁 
Skip: 狡猾  诡计多端 
Skip: 暴晒  曝晒 
Skip: 扎营  宿营 
Skip: 戏弄  戏耍 
Skip: 拉拢  笼络 
Skip: 恼人  令人烦恼 
Skip: 考虑不周  欠考虑 
Skip: 谦虚  谦逊 
Skip: 郁郁葱葱  葱茏 
Skip: 孤单  孤寂 
Skip: 傲慢  倨傲 
Skip: 击掌  拍掌 
Skip: 惩治  惩处 
Skip: 滋事  寻衅 
Skip: 妖艳  妖冶 
Skip: 无尽  无穷无尽 
Skip: 骁勇  悍勇 
Skip: 星象  星相 
Skip: 头晕  头昏 
Skip: 抗衡  匹敌 
Skip: 走俏  俏销 
Skip: 婀娜  婀娜多姿 
Skip: 祖传  家传 
Skip: 斗嘴  吵嘴 
Skip: 盘膝  盘坐 
Skip: 飞奔  狂奔 
Skip: 寂寞  孤独 
Skip: 孤苦伶仃  孤孤单单 
Skip: 粘液  黏液 
Skip: 惊奇  惊异 
Skip: 耍花招  耍滑头 
Skip: 帷幔  幔帐 
Skip: 牵扯  牵连 
Skip: 黏糊糊  粘糊糊 
Skip: 有意义  很有意义 
Skip: 半夜三更  半夜里 
Skip: 害羞  羞怯 
Skip: 得意洋洋  洋洋自得 
Skip: 见上帝  见马克思 
Skip: 彩霞  云霞 
Skip: 莽撞  冒失 
Skip: 太医  御医 
Skip: 污渍  污迹 
Skip: 闲暇  闲暇时 
Skip: 狂妄  狂傲 
Skip: 花样百出  花样繁多 
Skip: 令人讨厌  令人生厌 
Skip: 英雄好汉  英雄豪杰 
Skip: 感叹  感慨 
Skip: 转瞬  倏忽 
Skip: 军士  士卒 
Skip: 悔恨  痛悔 
Skip: 精力充沛  精神百倍 
Skip: 悠闲  闲适 
Skip: 节俭  俭朴 
Skip: 瘀血  血瘀 
Skip: 扔到  丢到 
Skip: 怪异  奇异 
Skip: 闪亮  亮闪闪 
Skip: 急于  心切 
Skip: 军士  兵士 
Skip: 童年  孩提时代 
Skip: 穷人  贫民 
Skip: 笑呵呵  笑盈盈 
Skip: 反绑  反剪 
Skip: 指头  手指头 
Skip: 盘腿  盘坐 
Skip: 疲劳  过度疲劳 
Skip: 鲜艳夺目  灿烂夺目 
Skip: 迷你  袖珍 
Skip: 狂妄自大  骄狂 
Skip: 奢侈  奢华 
Skip: 快艇  摩托艇 
Skip: 答应  满口答应 
Skip: 洞察  洞悉 
Skip: 粘膜  黏膜 
Skip: 当权者  当政者 
Skip: 激动不已  心潮澎湃 
Skip: 追捕  捉拿 
Skip: 眸子  双眸 
Skip: 更替  更迭 
Skip: 聪慧  伶俐 
Skip: 布什  布什总统 
Skip: 大户人家  富贵人家 
Skip: 惊恐  惊惶 
Skip: 短暂  刹那 
Skip: 剽悍  骁勇 
Skip: 有说服力  令人信服 
Skip: 不能理解  难以理解 
Skip: 妖艳  妖媚 
Skip: 症状  病状 
Skip: 裤腿  裤脚 
Skip: 疾驰  急驰 
Skip: 妩媚  柔媚 
Skip: 简要  扼要 
Skip: 痛骂  臭骂 
Skip: 查处  查办 
Skip: 单调  枯燥 
Skip: 繁杂  烦琐 
Skip: 纷杂  芜杂 
Skip: 柴火  木柴 
Skip: 流逝  消逝 
Skip: 节俭  勤俭 
Skip: 怪诞  乖谬 
Skip: 巨子  巨擘 
Skip: 专著  论著 
Skip: 桌椅  桌椅板凳 
Skip: 判刑  量刑 
Skip: 吟唱  吟诵 
Skip: 限于  仅限于 
Skip: 柔软  柔韧 
Skip: 责骂  臭骂 
Skip: 洞穴  洞窟 
Skip: 睡衣  睡袍 
Skip: 笑颜  笑靥 
Skip: 握有  在握 
Skip: 俯身  伏身 
Skip: 期待  期待已久 
Skip: 嫣红  艳红 
Skip: 参考书  参考资料 
Skip: 伙房  灶房 
Skip: 女流之辈  妇道人家 
Skip: 快捷  便捷 
Skip: 学前教育  幼儿教育 
Skip: 盲点  盲区 
Skip: 酒店  宾馆 
Skip: 泥潭  泥沼 
Skip: 震惊  惊异 
Skip: 疲乏  困倦 
Skip: 绚丽多姿  绚丽夺目 
Skip: 变化万千  变幻无常 
Skip: 主干道  干道 
Skip: 传唤  传讯 
Skip: 婀娜  绰约 
Skip: 旅程  旅途 
Skip: 辱骂  污辱 
Skip: 损坏  破损 
Skip: 锐利  犀利 
Skip: 鲜亮  鲜艳夺目 
Skip: 深灰色  铁灰色 
Skip: 分数线  录取分数线 
Skip: 医疗费  医药费 
Skip: 融合  融入 
Skip: 拔腿  撒腿 
Skip: 湛蓝  碧蓝 
Skip: 婴儿  新生婴儿 
Skip: 飞扬跋扈  狂妄自大 
Skip: 增援  驰援 
Skip: 风雨交加  风雨大作 
Skip: 号啕大哭  痛哭失声 
Skip: 改制  转制 
Skip: 感佩  赞佩 
Skip: 凄楚  凄迷 
Skip: 旖旎  绮丽 
Skip: 法律意识  法制观念 
Skip: 交手  交锋 
Skip: 拉伤  肌肉拉伤 
Skip: 红色  鲜红色 
Skip: 他处  彼处 
Skip: 诉说  述说 
Skip: 故意杀人罪  故意杀人 
Skip: 晶莹  剔透 
Skip: 灯具  灯饰 
Skip: 拉力赛  汽车拉力赛 
Skip: 妃嫔  姬妾 
Skip: 拍手  击掌 
Skip: 喝斥  叱喝 
Skip: 企业  民营企业 
Skip: 词汇  单词 
Skip: 肝炎  肝病 
Skip: 葱翠  绿茵茵 
Skip: 乐坛  歌坛 
Skip: 文艺界  文学界 
Skip: 卖艺  卖唱 
Skip: 查询  查阅 
Skip: 蓝色  淡蓝色 
Skip: 艳丽  妖艳 
Skip: 内镜  胃镜 
Skip: 变化无常  难以预测 
Skip: 反证  反例 
Skip: 示威者  抗议者 
Skip: 市场占有率  占有率 
Skip: 叩拜  叩谢 
Skip: 煲汤  煲粥 
Skip: 理工大学  工业大学 
Skip: 学者  经济学者 
Skip: 站牌  路牌 
Skip: 妩媚  俏丽 
Skip: 木讷  口拙 
Skip: 录像带  录音带 
Skip: 球员  球星 
Skip: 效益  经济效益 
Skip: 变速箱  变速器 
Skip: 争斗  纷争 
Skip: 苍翠  苍郁 
Skip: 餐饮  餐饮业 
Skip: 飘荡  摇荡 
Skip: 不可一世  跋扈 
Skip: 郁郁葱葱  苍翠 
Skip: 砂纸  砂布 
Skip: 雀跃  欢畅 
Skip: 劳动模范  先进工作者 
Skip: 城垛  箭垛 
Skip: 胃病  慢性胃炎 
Skip: 感到遗憾  扼腕 
Skip: 三明治  汉堡包 
Skip: 后轮胎  前轮胎 
Skip: 雪豹  金钱豹 
Skip: 商店  连锁店 
Skip: 说笑  嘻笑 
Skip: 激愤  激奋 
Skip: 景观  水景 
Skip: 外甥  侄儿 
Skip: 计算机辅助  计算机辅助设计 
Skip: 裤头  泳裤 
Skip: 学院  音乐学院 
Skip: 神侃  胡侃 
Skip: 母亲  爹娘 
Skip: 羞愤  恼恨 
Skip: 抗争  拼斗 
Skip: 橘红  橘黄 
Skip: 双人床  单人床 
Skip: 报表  损益表 
Skip: 屠杀  虐杀 
Skip: 流食  软食 
Skip: 靶心  箭靶 
Skip: 强攻  快攻 
Skip: 粉红  艳红 
Skip: 中国银行  建设银行 
Skip: 挂钟  石英钟 
Skip: 剥蚀  浸蚀 
Skip: 哀婉  柔婉 
Skip: 先进  一流 
Skip: 修养  学识 
Skip: 夜空  苍穹 
Skip: 代理人  委托人 
Skip: 蛙泳  蝶泳 
Skip: 草药  良药 
Skip: 灰蒙蒙  雾蒙蒙 
Skip: 绚丽  炫目 
Skip: 深红色  橙红色 
Skip: 粉红  暗红 
Skip: 壮丽  大气磅礴 
Skip: 太阳系  银河系 
Skip: 老婆婆  老爷爷 
Skip: 代理商  分销商 
Skip: 草丛  灌木丛 
Skip: 痢疾  肠道疾病 
Skip: 奖章  奖旗 
Skip: 公务  外事 
Skip: 街头  十字路口 
Skip: 难闻  呛人 
Skip: 谦卑  卑屈 
Skip: 水桶  水瓢 
Skip: 知府  县令 
Skip: 庇佑  赐福 
Skip: 注塑  压铸 
Skip: 易燃  易爆 
Skip: 扁桃体炎  咽喉炎 
Skip: 机型  型号 
Skip: 附赠  奉送 
Skip: 椭圆形  球形 
Skip: 唯一  专有 
Skip: 锦标赛  巡回赛 
Skip: 乘法  除法 
Skip: 外孙  外孙女 
Skip: 暑假  寒假 
Skip: 作案  盗窃 
Skip: 骗财  骗色 
Skip: 苍翠  葱茏 
Skip: 母系  父系 
Skip: 易懂  简明扼要 
Skip: 主教练  主帅 
Skip: 甲苯  二甲苯 
Skip: 胃癌  直肠癌 
Skip: 水产品  淡水鱼 
Skip: 姑父  舅父 
Skip: 融汇  糅合 
Skip: 统帅部  参谋部 
Skip: 相对主义  客观主义 
Skip: 颗粒状  粒状 
Skip: 考题  作文题 
Skip: 贸易政策  贸易保护 
Skip: 巷子  巷口 
Skip: 杉木  杂木 
Skip: 元音  辅音 
Skip: 南部地区  北部地区 
Skip: 东北角  西北角 
Skip: 签字  盖章 
Skip: 苍翠  葱郁 
Skip: 东门  南门 
Skip: 西北角  西南角 
Skip: 金奖  铜奖 
Skip: 西站  北站 
Skip: 伯父  伯母 
Skip: 枸杞  党参 
Skip: 盟兄  盟弟 
Skip: 样本  标本 
Skip: 阴森森  黑洞洞 
Skip: 彬彬有礼  谦和 
Skip: 繁茂  苍翠 
Skip: 圣诞节  感恩节 
Skip: 股票市场  熊市 
Skip: 偶像  巨星 
Skip: 牛仔裤  牛仔 
Skip: 私立学校  公立学校 
Skip: 书桌  书柜 
Skip: 民主党人  共和党人 
Skip: 表姐  表妹 
Skip: 前妻  前夫 
Skip: 傻笑  奸笑 
Skip: 规范化  制度化 
Skip: 精神焕发  面色红润 
Skip: 五彩缤纷  各色各样 
Skip: 西侧  北侧 
Skip: 西边  南边 
Skip: 坐相  站相 
Skip: 工业革命  资产阶级革命 
Skip: 水产  淡水鱼 
Skip: 中国科学院  社会科学院 
Skip: 火山岩  沉积岩 
Skip: 船头  船尾 
Skip: 暗笑  莞尔 
Skip: 敲诈  实施犯罪 
Skip: 深蓝色  墨绿色 
Skip: 唯一  不同寻常 
Skip: 东北角  西南角 
Skip: 专卖店  连锁店 
Skip: 颜色  底色 
Skip: 理工大学  工学院 
Skip: 天文学  地质学 
Skip: 教育者  指导者 
Skip: 烤鸡  烤乳猪 
Skip: 笔法  笔锋 
Skip: 肉搏  对攻 
Skip: 令人费解  不合情理 
Skip: 逆向  非常规 
Skip: 监视器  录像机 
Skip: 彻底  突破性 
Skip: 西侧  南侧 
Skip: 保镖  家丁 
Skip: 生理学  病理学 
Skip: 清晰明了  精当 
Skip: 都城  内城 
Skip: 学士学位  毕业文凭 
Skip: 头球  任意球 
Skip: 乳白色  淡黄色 
Skip: 难以捉摸  变化多端 
Skip: 橘黄色  桃红色 
Skip: 楼盘  房源 
Skip: 草莓  柠檬 
Skip: 病理学  细胞学 
Skip: 鄙夷  嘲弄 
Skip: 南疆  边陲 
Skip: 甘甜  爽口 
Skip: 荒谬  漏洞百出 
Skip: 立法权  审判权 
Skip: 中国科学院  工程院 
Skip: 微积分  概率论 
Skip: 番茄  南瓜 
Skip: 开发商  房地产商 
Skip: 研讨会  招待会 
Skip: 压缩机  汽油机 
Skip: 外销  内销 
Skip: 友善  谦和 
Skip: 条目  词条 
Skip: 教育局  物价局 
Skip: 躯干  前臂 
Skip: 野草  灌木丛 
Skip: 主演  合演 
Skip: 管理费  佣金 
Skip: 邮政局  邮政储蓄 
Skip: 肺炎  哮喘 
Skip: 资本主义社会  奴隶社会 
Skip: 通货膨胀  通货紧缩 
Skip: 瞒报  营私舞弊 
Skip: 共存  溶合 
Skip: 红色  淡蓝色 
Skip: 红火  走俏 
Skip: 生理性  病理性 
Skip: 赛季  赛季前 
Skip: 怒斥  挞伐 
Skip: 难以理解  不合情理 
Skip: 短期  阶段性 
Skip: 逃犯  交通肇事逃逸 
Skip: 姐妹  伯母 
Skip: 屯垦  戍边 
Skip: 茂密  苍翠 
Skip: 浪漫  温情 
Skip: 买主  卖主 
Skip: 富户  乡绅 
Skip: 东部  北部地区 
Skip: 结肠炎  溃疡病 
Skip: 补偿金  扶养费 
Skip: 党章  党务 
Skip: 呼吸道  外耳道 
Skip: 息肉  脂肪瘤 
Skip: 唠叨  瞎说 
Skip: 帐篷  雨伞 
Skip: 脸部  肚脐 
Skip: 愚蠢  鲁莽 
Skip: 橙黄色  粉白色 
Skip: 绿营  蓝营 
Skip: 脸蛋  娃娃脸 
Skip: 股票  股票市场 
Skip: 枯树  枝桠 
Skip: 治本  治标 
Skip: 急于  贸然 
Skip: 野兔  黄羊 
Skip: 丫头  姨娘 
Skip: 走势  涨幅 
Skip: 判决  庭审 
Skip: 辩解  矢口否认 
Skip: 自责  痛心 
Skip: 勤快  贤惠 
Skip: 飘逸  俏丽 
Skip: 精彩  炫目 
Skip: 姐夫  表弟 
Skip: 耗子  蝎子 
Skip: 一家人  兄弟俩 
Skip: 建筑师  自由职业者 
Skip: 茫然  惶恐 
Skip: 绝望  迷惘 
Skip: 真诚  温情 
Skip: 科研  课题组 
Skip: 充电器  锂电池 
Skip: 厨师  厨艺 
Skip: 胸前  脖颈 
Skip: 门票  票价 
Skip: 墓穴  棺木 
Skip: 咖啡馆  歌舞厅 
Skip: 泪珠  口涎 
Skip: 秀逸  闲雅 
Skip: 小组赛  预选 
Skip: 恕罪  息怒 
Skip: 抄家  革职 
Skip: 人选  初选 
Skip: 有理由  不可否认 
Skip: 乖觉  守本分 
Skip: 梆子  晋剧 
Skip: 台灯  烛台 
Skip: 考试  命题 
Skip: 短剑  剑锋 
Skip: 偷笑  咧嘴 
Skip: 签收  拒收 
Skip: 判决  败诉 
Skip: 柔媚  明艳 
Skip: 山药  茯苓 
Skip: 奶子  乳沟 
Skip: 虫害  棉铃虫 
Skip: 寝宫  暖阁 
Skip: 封建制度  资本主义经济 
Skip: 明快  旋律优美 
Skip: 谦和  贤明 
Skip: 课文  句子 
Skip: 刑事拘留  审问 
Skip: 布置  督导 
Skip: 憎恶  痛骂 
Skip: 妖媚  荒淫 
Skip: 液晶  显示器 
Skip: 菩萨  功德 
Skip: 灯罩  吸顶灯 
Skip: 桑拿  浴池 
Skip: 街灯  灯柱 
Skip: 百货  专柜 
Skip: 年糕  烧鸭 
Skip: 月初  年末 
Skip: 精准  灵敏 
Skip: 病因  哮喘 
Skip: 词句  修辞 
Skip: 变电站  输电线 
Skip: 词句  文法 
Skip: 军事  预备役 
Skip: 措施  思路 
Skip: 头领  侍从 
Skip: 劳动者  就业岗位 
Skip: 阻截  掩杀 
Skip: 挣脱  飞身 
Skip: 浪漫  奢华 
Skip: 傲然  无表情 
Skip: 实则  如此这般 
Skip: 电话号码  通讯录 
Skip: 表哥  小儿子 
Skip: 电机  连接器 
Skip: 未婚妻  密友 
Skip: 电视观众  音乐爱好者 
Skip: 哈哈大笑  拍手 
Skip: 羞赧  嗔怒 
Skip: 考勤  巡更 
Skip: 驰骋  踏足 
Skip: 慢性  老年性 
Skip: 灼热  潮红 
Skip: 壮实  干瘦 
Skip: 苍茫  寂然 
Skip: 外观  质感 
Skip: 举人  会试 
Skip: 决赛  冠亚军 
Skip: 眼色  泪眼 
Skip: 弓箭手  建筑工人 
Skip: 坟墓  遗言 
Skip: 潮流  宠儿 
Skip: 工厂  供应商 
Skip: 注册  核准 
Skip: 金黄  透亮 
Skip: 儒雅  自傲 
Skip: 想不到  随口 
Skip: 柔软  湿淋淋 
Skip: 勤劳  谦和 
Skip: 山里  山民 
Skip: 莲子  冰糖 
Skip: 剑术  绝学 
Skip: 大使馆  政要 
Skip: 凄婉  悲歌 
Skip: 检举  免职 
Skip: 艳红  灼烫 
Skip: 诱人  赤裸裸 
Skip: 辖区  城管 
Skip: 恶魔  梦魇 
Skip: 军士  家丁 
Skip: 树枝  草丛 
Skip: 排放量  温室气体 
Skip: 窗子  门缝 
Skip: 电厂  集中供热 
Skip: 渔业  贝类 
Skip: 应届毕业生  中文系 
Skip: 短语  字根 
Skip: 助手  辩护律师 
Skip: 乘势  掩杀 
Skip: 查实  检举 
Skip: 创新高  探底 
Skip: 飘荡  浸透 
Skip: 俊俏  二十多岁 
Skip: 无谓  无休止 
Skip: 飘逸  墨绿 
Skip: 耀眼  强悍 
Skip: 天赋  决定性 
Skip: 透明  颗粒状 
Skip: 整齐  粉红色 
Skip: 莫名  吃力 
Skip: 金黄色  亮闪闪 
Skip: 复印件  公章 
Skip: 词典  英汉 
Skip: 球队  赛季 
Skip: 会徽  奥林匹克运动会 
Skip: 绩效  经理人 
Skip: 铁门  门锁 
Skip: 赛季  赛场 
Skip: 内幕  特工 
Skip: 打印机  阵列 
Skip: 脱氧核糖核酸  巨细胞 
Skip: 根部  耳孔 
Skip: 剑刃  鞭梢 
Skip: 霉菌  细菌培养 
Skip: 煤矿  火电 
Skip: 侍卫  宝剑 
Skip: 股权  民营企业 
Skip: 耻辱  胜利者 
Skip: 纳税人  工商局 
Skip: 兽医  医务室 
Skip: 双肩  旅行袋 
Skip: 元旦  合家 
Skip: 胡萝卜  豆干 
Skip: 影视  著作权 
Skip: 资质  法人 
Skip: 困倦  烦燥 
Skip: 侵占  时有发生 
Skip: 佩服  偷笑 
Skip: 相传  寻访 
Skip: 不知道  扭曲 
Skip: 输掉  完胜 
Skip: 扫描  修补 
Skip: 汗颜  匹敌 
Skip: 运作  改制 
Skip: 影响力  服饰 
Skip: 评论家  新闻摄影 
Skip: 惊人  强悍 
Skip: 两样  绝佳 
Skip: 柔滑  甜香 
Skip: 倔强  胆小怕事 
Skip: 苍郁  峭拔 
Skip: 聪明绝顶  胆小怕事 
Skip: 浑身  妖艳 
Skip: 活力四射  实足 
Skip: 质朴  矫情 
Skip: 澄澈  雾蒙蒙 
Skip: 聪慧  贫寒 
Skip: 线圈  谐振 
Skip: 暑假  补习班 
Skip: 美术家  作协 
Skip: 通货膨胀  中国央行 
Skip: 官军  流寇 
Skip: 华语  流行音乐 
Skip: 昆仑  泰山北斗 
Skip: 盟主  浪子 
Skip: 此人  义父 
Skip: 做法  资本市场 
Skip: 利爪  剑鞘 
Skip: 事业  特质 
Skip: 待遇  正式工 
Skip: 民间传说  唱词 
Skip: 竞走  保持者 
Skip: 赢家  入场券 
Skip: 封建社会  政治制度 
Skip: 标语  抗议者 
Skip: 效能  党务 
Skip: 暗夜  毒蛇 
Skip: 票价  站名 
Skip: 谋杀  未遂 
Skip: 心存  敬畏 
Skip: 注视  惊异 
Skip: 听懂  口吃 
Skip: 鄙视  做秀 
Skip: 当班  停职 
Skip: 忐忑不安  窃笑 
Skip: 灭口  逃掉 
Skip: 流露  扭捏 
Skip: 突显  修身 
/scratch/network/sa3937/wordembed/w2v_dec_nodownsamp/word_embeddings/word_embeddings_1970.txt on COS960_all.txtWordSim960 Pearson Score:0.6873476710311
WordSim960 Spearman Score:0.7364932757881835
WordSim960 Sqrt of r and rho Score:0.7114962669213898
TestPair:193SkipPair:767

Skip: 小心谨慎  谨慎小心 
Skip: 繁琐  烦琐 
Skip: 银灰色  银灰 
Skip: 倔强  倔犟 
Skip: 唯有  惟有 
Skip: 虚无缥缈  虚无飘渺 
Skip: 有些偏高  有点偏高 
Skip: 血红  血红色 
Skip: 有说服力  具有说服力 
Skip: 齐全  齐备 
Skip: 絮絮叨叨  絮叨 
Skip: 唯独  惟独 
Skip: 火爆  火暴 
Skip: 颤巍巍  颤颤巍巍 
Skip: 葱郁  葱茏 
Skip: 炫目  眩目 
Skip: 炽热  炙热 
Skip: 文武双全  文武全才 
Skip: 聪慧  聪颖 
Skip: 慢腾腾  慢慢吞吞 
Skip: 做作  造作 
Skip: 孤身一人  孤身 
Skip: 精神饱满  精神焕发 
Skip: 橘红色  桔红色 
Skip: 鲁莽  莽撞 
Skip: 绚丽多彩  绚丽多姿 
Skip: 决然  毅然决然 
Skip: 聪明  聪慧 
Skip: 匮乏  贫乏 
Skip: 郁郁葱葱  葱郁 
Skip: 衣衫褴褛  褴褛 
Skip: 难以预料  难以预测 
Skip: 彪悍  剽悍 
Skip: 简洁  简练 
Skip: 难以言表  难以名状 
Skip: 精神抖擞  精神饱满 
Skip: 热气腾腾  热腾腾 
Skip: 孤独  孤单 
Skip: 不能解决  无法解决 
Skip: 葱茏  苍郁 
Skip: 狡猾  诡计多端 
Skip: 恼人  令人烦恼 
Skip: 考虑不周  欠考虑 
Skip: 谦虚  谦逊 
Skip: 郁郁葱葱  葱茏 
Skip: 孤单  孤寂 
Skip: 傲慢  倨傲 
Skip: 妖艳  妖冶 
Skip: 无尽  无穷无尽 
Skip: 骁勇  悍勇 
Skip: 走俏  俏销 
Skip: 婀娜  婀娜多姿 
Skip: 祖传  家传 
Skip: 寂寞  孤独 
Skip: 孤苦伶仃  孤孤单单 
Skip: 黏糊糊  粘糊糊 
Skip: 有意义  很有意义 
Skip: 莽撞  冒失 
Skip: 狂妄  狂傲 
Skip: 花样百出  花样繁多 
Skip: 令人讨厌  令人生厌 
Skip: 转瞬  倏忽 
Skip: 精力充沛  精神百倍 
Skip: 悠闲  闲适 
Skip: 节俭  俭朴 
Skip: 怪异  奇异 
Skip: 闪亮  亮闪闪 
Skip: 急于  心切 
Skip: 鲜艳夺目  灿烂夺目 
Skip: 迷你  袖珍 
Skip: 狂妄自大  骄狂 
Skip: 奢侈  奢华 
Skip: 聪慧  伶俐 
Skip: 短暂  刹那 
Skip: 剽悍  骁勇 
Skip: 有说服力  令人信服 
Skip: 不能理解  难以理解 
Skip: 妖艳  妖媚 
Skip: 妩媚  柔媚 
Skip: 简要  扼要 
Skip: 单调  枯燥 
Skip: 繁杂  烦琐 
Skip: 纷杂  芜杂 
Skip: 节俭  勤俭 
Skip: 怪诞  乖谬 
Skip: 柔软  柔韧 
Skip: 嫣红  艳红 
Skip: 快捷  便捷 
Skip: 绚丽多姿  绚丽夺目 
Skip: 变化万千  变幻无常 
Skip: 婀娜  绰约 
Skip: 锐利  犀利 
Skip: 鲜亮  鲜艳夺目 
Skip: 深灰色  铁灰色 
Skip: 湛蓝  碧蓝 
Skip: 飞扬跋扈  狂妄自大 
Skip: 凄楚  凄迷 
Skip: 旖旎  绮丽 
Skip: 红色  鲜红色 
Skip: 晶莹  剔透 
Skip: 葱翠  绿茵茵 
Skip: 蓝色  淡蓝色 
Skip: 艳丽  妖艳 
Skip: 变化无常  难以预测 
Skip: 妩媚  俏丽 
Skip: 木讷  口拙 
Skip: 苍翠  苍郁 
Skip: 不可一世  跋扈 
Skip: 郁郁葱葱  苍翠 
Skip: 橘红  橘黄 
Skip: 粉红  艳红 
Skip: 哀婉  柔婉 
Skip: 先进  一流 
Skip: 灰蒙蒙  雾蒙蒙 
Skip: 绚丽  炫目 
Skip: 深红色  橙红色 
Skip: 粉红  暗红 
Skip: 壮丽  大气磅礴 
Skip: 难闻  呛人 
Skip: 谦卑  卑屈 
Skip: 易燃  易爆 
Skip: 椭圆形  球形 
Skip: 唯一  专有 
Skip: 苍翠  葱茏 
Skip: 母系  父系 
Skip: 易懂  简明扼要 
Skip: 颗粒状  粒状 
Skip: 苍翠  葱郁 
Skip: 阴森森  黑洞洞 
